Gyrm Axe,Axe,266,0,0,0,266,35,3,0,0,0,30,25,50,0,0,0,15,Dark
Butcher's Knife,Axe,196,0,0,0,196,37,0,0,0,0,28,25,50,0,0,0,15,Dark
Bandit Axe,Axe,203,0,0,0,203,21,0,0,0,0,30,25,50,0,0,0,15,Dark
Dragonslayer's Crescent Axe,Axe,180,0,0,54,36,30,5,0,0,40,26,38,50,0,0,22,15,Dark
Battle Axe,Axe,175,0,0,0,175,21,6,0,0,0,30,25,50,0,0,0,15,Dark
Hand Axe,Axe,168,0,0,0,168,21,0,0,0,0,30,25,50,0,0,0,15,Dark
Infantry Axe,Axe,140,0,0,0,140,21,6,0,0,0,30,25,50,0,0,0,15,Dark
Bound Hand Axe,Axe,162,0,0,0,30,51,0,0,0,0,28,37,50,0,0,0,15,Dark
Dragonrider Bow,Bow,162,90,0,0,60,44,9,40,0,0,26,37,50,22,0,0,15,Dark
Bow of Want,Bow,90,0,0,117,78,25,31,0,0,42.4,28.26,38,50,0,0,22,15,Dark
Composite Bow,Bow,115,0,0,0,115,18,9,0,0,0,30,25,50,0,0,0,15,Dark
Hunter's Blackbow,Bow,108,0,0,0,108,3,24,0,0,0,30,25,50,0,0,0,15,Dark
Long Bow,Bow,105,0,0,0,105,8,21,0,0,0,30,25,50,0,0,0,15,Dark
Sea Bow,Bow,101,0,0,0,101,18,9,0,0,0,30,25,50,0,0,0,15,Dark
Bell Keeper Bow,Bow,91,0,0,0,91,19,17,0,0,0,30,25,50,0,0,0,15,Dark
Short Bow,Bow,91,0,0,0,91,8,21,0,0,0,30,25,50,0,0,0,15,Dark
Manikin Claws,Claw,105,0,0,0,105,19,10,0,0,0,30,25,50,0,0,0,15,Dark
Claws,Claw,116,0,0,0,77,8,25,0,0,0,20,38,50,0,0,0,15,Dark
Malformed Claws,Claw,91,0,0,0,91,21,6,0,0,0,30,25,50,0,0,0,15,Dark
Work Hook,Claw,35,0,0,0,5,24,0,0,0,0,10,45,50,0,0,0,6,Dark
Heavy Crossbow,Crossbow,145,0,0,0,145,0,0,0,0,0,20,25,50,0,0,0,15,Dark
Shield Crossbow,Crossbow,140,0,0,0,140,0,0,0,0,0,18.67,25,50,0,0,0,15,Dark
Light Crossbow,Crossbow,125,0,0,0,125,0,0,0,0,0,20,25,50,0,0,0,15,Dark
Sanctum Crossbow,Crossbow,154,0,0,0,0,0,0,0,0,0,52.34,35,50,0,0,0,39,Dark
Avelyn,Crossbow,85,0,0,0,85,0,0,0,0,0,20,25,50,0,0,0,15,Dark
Sanctum Repeating Crossbow,Crossbow,70,0,0,0,0,0,0,0,0,0,52.34,35,50,0,0,0,39,Dark
Curved Dragon Greatsword,Curved Greatsword,392,0,0,0,167,31.63,34,0,0,0,18,35,50,0,0,0,9,Dark
Murakumo,Curved Greatsword,266,0,0,0,266,6,22,0,0,0,30,25,50,0,0,0,15,Dark
Arced Sword,Curved Greatsword,252,0,0,0,252,15,22,0,0,0,30,25,50,0,0,0,15,Dark
Curved Nil Greatsword,Curved Greatsword,182,0,0,0,223,33,11,0,0,0,74,23,50,0,0,0,17,Dark
Red Rust Scimitar,Curved Sword,189,0,0,0,189,20,4,0,0,0,28,25,50,0,0,0,15,Dark
Warped Sword,Curved Sword,175,0,0,0,175,4,18,0,0,0,28,25,50,0,0,0,15,Dark
Manikin Sabre,Curved Sword,171,0,0,0,171,7,15,0,0,0,30,25,50,0,0,0,15,Dark
Melu Scimitar,Curved Sword,175,0,0,0,175,7,9,0,0,0,30,25,50,0,0,0,15,Dark
Scimitar,Curved Sword,154,0,0,0,154,6,17,0,0,0,30,25,50,0,0,0,15,Dark
Eleum Loyce,Curved Sword,143,0,0,0,108,3,50,0,0,0,30.91,36,50,0,0,0,17,Dark
Falchion,Curved Sword,180,0,0,0,100,8,25,0,0,0,20,38,50,0,0,0,15,Dark
Spider Fang,Curved Sword,147,0,0,0,147,4,18,0,0,0,28,25,50,0,0,0,15,Dark
Shotel,Curved Sword,140,0,0,0,140,8,21,0,0,0,30,25,50,0,0,0,15,Dark
Monastery Scimitar,Curved Sword,133,0,0,0,133,5,26,0,0,0,30,25,50,0,0,0,15,Dark
Royal Dirk,Dagger,105,0,0,0,105,8,14,0,0,0,28,25,50,0,0,0,15,Dark
Black Flamestone Dagger,Dagger,98,0,0,0,98,19,7,0,0,0,30,25,50,0,0,0,15,Dark
Thief Dagger,Dagger,101,0,0,0,101,5,0,0,0,0,30,25,50,0,0,0,15,Dark
Shadow Dagger,Dagger,84,0,0,0,84,21,6,0,0,0,30,25,50,0,0,0,15,Dark
Retainer's Short Sword,Dagger,50,65,0,0,49,5,5,14.88,0,0,11.32,36,50,21,0,0,17,Dark
Dagger,Dagger,80,0,0,0,80,6,17,0,0,0,30,25,50,0,0,0,15,Dark
Broken Thief Sword,Dagger,84,0,0,0,84,13,0,0,0,0,30,25,50,0,0,0,15,Dark
Manikin Knife,Dagger,102,0,0,0,44,11,13,0,0,0,18,35,50,0,0,0,9,Dark
Bandit's Knife,Dagger,117,0,0,0,25,24,0,0,0,0,10,45,50,0,0,0,6,Dark
Parrying Dagger,Dagger,56,0,0,0,56,4,19,0,0,0,30,25,50,0,0,0,15,Dark
Blue Dagger,Dagger,63,0,0,0,38,5,9,0,0,0,32.67,22,50,0,0,0,17,Dark
Bone Fist,Fists,12,0,0,0,69,34,15.31,0,0,0,82.67,23,50,0,0,0,16,Dark
Caestus,Fists,63,0,0,0,63,32,17,0,0,0,30,25,50,0,0,0,15,Dark
Black Knight Greataxe,Great Axe,306,0,108,0,72,53.33,8,0,41.94,0,28.37,38,50,0,22,0,15,Dark
Giant Stone Axe,Great Axe,280,0,0,0,280,33.96,0,0,0,0,30,25,50,0,0,0,15,Dark
Gyrm Greataxe,Great Axe,273,0,0,0,273,35.56,3,0,0,0,30,25,50,0,0,0,15,Dark
Greataxe,Great Axe,273,0,0,0,273,27.47,3,0,0,0,30,25,50,0,0,0,15,Dark
Drakekeeper's Greataxe,Great Axe,266,0,0,0,266,35,3,0,0,0,30,25,50,0,0,0,15,Dark
Bandit Greataxe,Great Axe,259,0,0,0,259,13,3,0,0,0,30,25,50,0,0,0,15,Dark
Black Dragon Greataxe,Great Axe,287,0,0,0,287,0,0,0,0,0,0,25,50,0,0,0,15,Dark
Lion Greataxe,Great Axe,203,0,0,0,203,28.57,10,0,0,0,30,25,50,0,0,0,15,Dark
Crescent Axe,Great Axe,189,72,0,0,48,31,14,16.67,0,0,30,37,50,23,0,0,15,Dark
Sacred Chime Hammer,Great Hammer,364,0,0,0,215,45,0,0,0,0,98.32,40,50,0,0,0,36,Dark
Giant Warrior Club,Great Hammer,364,0,0,0,364,36.84,0,0,0,0,30,25,50,0,0,0,15,Dark
Dragon Tooth,Great Hammer,329,0,0,0,329,31.11,0,0,0,0,30,25,50,0,0,0,15,Dark
Iron King Hammer,Great Hammer,252,0,162,0,108,31.11,11,0,52.68,0,27.99,37,50,0,22,0,15,Dark
Demon's Great Hammer,Great Hammer,315,0,0,0,315,35.56,0,0,0,0,30,25,50,0,0,0,15,Dark
Drakekeeper's Great Hammer,Great Hammer,315,0,0,0,315,35.56,0,0,0,0,30,25,50,0,0,0,15,Dark
Malformed Skull,Great Hammer,364,0,0,0,364,0,0,0,0,0,0,25,50,0,0,0,15,Dark
Smelter Hammer,Great Hammer,315,0,0,0,308,33.33,0,0,0,0,33.33,22,50,0,0,0,16,Dark
Gyrm Great Hammer,Great Hammer,301,0,0,0,301,36.67,0,0,0,0,30,25,50,0,0,0,15,Dark
Old Knight Hammer,Great Hammer,350,0,0,0,350,0,0,0,0,0,0,25,50,0,0,0,15,Dark
Malformed Shell,Great Hammer,301,0,0,0,301,30.38,0,0,0,0,30,25,50,0,0,0,15,Dark
Drakekeeper's Warpick,Great Hammer,294,0,0,0,294,36.67,0,0,0,0,30,25,50,0,0,0,15,Dark
Great Club,Great Hammer,294,0,0,0,294,36,0,0,0,0,30,25,50,0,0,0,15,Dark
Large Club,Great Hammer,252,0,0,0,252,45,0,0,0,0,30,25,50,0,0,0,15,Dark
Pickaxe,Great Hammer,210,0,0,0,210,36,0,0,0,0,30,25,50,0,0,0,15,Dark
Sanctum Mace,Great Hammer,340,0,0,0,59,60.76,0,0,0,0,12,42,50,0,0,0,9,Dark
Archdrake Mace,Great Hammer,175,0,0,0,175,30,6,0,0,0,30,25,50,0,0,0,15,Dark
