1,50,50,50,50,50,50
2,51,51,54,54,50,51
3,52,52,56,56,51,52
4,53,53,59,59,51,53
5,53,53,61,61,51,53
6,54,54,63,63,52,54
7,55,55,65,65,52,55
8,56,56,68,68,53,56
9,56,56,70,70,53,56
10,57,57,72,72,53,57
11,59,59,76,76,58,59
12,61,61,81,81,63,61
13,63,63,85,85,68,63
14,66,66,90,90,74,66
15,68,68,94,94,79,68
16,70,70,99,99,84,70
17,73,73,103,103,90,73
18,75,75,108,108,95,75
19,77,77,112,112,100,77
20,80,80,117,117,106,80
21,82,82,120,121,106,82
22,84,84,123,126,106,84
23,86,86,126,130,107,86
24,89,89,129,135,107,89
25,91,91,132,139,108,91
26,93,93,135,144,108,93
27,95,95,138,148,108,95
28,98,98,141,153,109,98
29,100,100,144,157,109,100
30,102,102,147,162,110,102
31,105,105,147,162,113,105
32,109,109,148,163,116,109
33,113,113,149,164,119,113
34,117,117,150,165,122,117
35,121,121,151,166,125,121
36,124,124,151,166,128,124
37,128,128,152,167,131,128
38,132,132,153,168,134,132
39,136,136,154,169,137,136
40,140,140,155,170,140,140
41,141,141,155,170,141,141
42,143,143,156,171,143,143
43,144,144,157,172,144,144
44,146,146,158,173,146,146
45,147,147,158,173,147,147
46,149,149,159,174,149,149
47,150,150,160,175,150,150
48,152,152,161,176,152,152
49,153,153,161,176,153,153
50,155,155,162,177,155,155
51,155,155,162,177,155,155
52,156,156,163,178,156,156
53,157,157,164,179,157,157
54,158,158,165,180,158,158
55,158,158,166,181,158,158
56,159,159,166,181,159,159
57,160,160,167,182,160,160
58,161,161,168,183,161,161
59,161,161,169,184,161,161
60,162,162,170,185,162,162
61,162,162,170,185,162,162
62,163,163,171,185,163,163
63,164,164,172,186,164,164
64,165,165,173,186,165,165
65,166,166,173,186,166,166
66,166,166,174,187,166,166
67,167,167,175,187,167,167
68,168,168,176,188,168,168
69,169,169,176,188,169,169
70,170,170,177,188,170,170
71,171,171,177,188,171,171
72,173,173,178,188,173,173
73,174,174,179,189,174,174
74,176,176,180,189,176,176
75,177,177,181,190,177,177
76,179,179,181,190,179,179
77,180,180,182,191,180,180
78,182,182,183,191,182,182
79,183,183,184,192,183,183
80,185,185,185,192,185,185
81,185,185,185,192,185,185
82,186,186,186,192,186,186
83,187,187,187,193,187,187
84,188,188,188,193,188,188
85,188,188,188,194,188,188
86,189,189,189,194,189,189
87,190,190,190,194,190,190
88,191,191,191,195,191,191
89,191,191,191,195,191,191
90,192,192,192,196,192,192
91,192,192,192,196,192,192
92,193,193,193,196,193,193
93,194,194,194,197,194,194
94,195,195,195,197,195,195
95,196,196,196,198,196,196
96,197,197,197,198,197,197
97,198,198,198,199,198,198
98,199,199,199,199,199,199
99,200,200,200,200,200,200
